@relation sms

@attribute ncharacter real
@attribute ndollars real
@attribute nnumeric real
@attribute nuppercase real
@attribute type {ham, spam}

@data
167,0,16,6,ham
122,0,32,5,ham
172,0,18,2,ham
168,0,3,0,spam
167,0,6,0,ham
166,0,14,3,ham
149,0,17,3,ham
143,0,26,2,ham
168,0,18,2,ham
173,0,15,1,spam
172,0,16,2,ham
169,0,18,2,ham
167,0,10,0,ham
147,0,27,12,ham
159,0,28,3,spam
147,0,11,4,ham
173,0,17,0,ham
152,0,3,13,ham
134,0,23,4,ham
111,0,15,0,ham
152,0,11,4,ham
168,0,18,2,ham
113,0,23,4,ham
134,0,23,4,ham
167,0,16,1,ham
147,0,14,2,ham
169,0,18,2,ham
155,0,14,2,ham
168,0,22,0,ham
166,0,21,1,ham
167,0,18,0,ham
163,0,23,10,ham
157,0,18,1,ham
157,0,22,3,ham
164,0,15,15,ham
161,0,25,0,ham
168,0,16,2,ham
159,0,18,1,ham
150,0,19,3,ham
154,0,23,5,ham
147,0,26,3,ham
156,0,15,5,ham
170,0,29,4,ham
152,0,17,0,ham
169,0,23,0,ham
77,0,0,1,ham
45,0,11,1,ham
165,0,22,1,spam
165,0,28,1,spam
155,0,14,3,ham
107,0,13,1,ham
159,0,22,2,ham
98,0,11,1,ham
159,0,22,2,ham
159,0,15,3,ham
170,0,16,3,ham
172,0,31,5,ham
167,0,12,4,ham
161,0,28,3,spam
130,0,19,3,ham
127,0,8,1,ham
49,0,16,0,ham
121,0,8,2,ham
169,0,18,4,ham
5,0,0,0,ham
144,0,1,1,ham
40,0,0,0,ham
38,0,0,0,ham
131,0,11,1,spam
53,0,1,0,ham
99,0,0,1,ham
34,0,0,0,ham
33,0,0,0,ham
46,0,0,1,ham
49,0,0,1,ham
157,0,0,2,ham
169,0,0,1,ham
89,0,1,0,ham
49,0,0,1,ham
61,0,0,1,ham
46,0,0,0,ham
28,0,0,0,ham
117,0,1,0,ham
43,0,0,0,ham
164,0,0,1,ham
37,0,0,0,ham
52,0,0,0,ham
87,0,0,1,ham
30,0,0,0,ham
58,0,0,0,ham
162,0,21,1,spam
27,0,0,0,ham
35,0,0,0,ham
126,0,1,2,ham
60,0,0,0,ham
89,0,1,2,ham
29,0,0,0,ham
86,0,0,1,ham
159,0,0,1,ham
136,0,1,0,ham
334,0,1,0,ham
54,0,0,0,ham
70,0,1,1,ham
34,0,0,0,ham
214,0,0,0,ham
119,0,0,1,ham
109,0,23,4,spam
54,0,2,0,ham
113,0,0,0,ham
41,0,0,0,ham
37,0,0,0,ham
55,0,0,0,ham
83,0,0,1,ham
148,0,5,0,ham
159,0,25,0,spam
161,0,31,4,spam
28,0,0,0,ham
45,0,0,0,ham
165,0,17,0,spam
32,0,0,0,ham
149,0,14,3,spam
27,0,0,0,ham
162,0,0,0,ham
77,0,0,0,ham
208,0,0,0,ham
335,0,1,2,ham
120,0,0,1,ham
32,0,1,0,ham
144,0,1,0,ham
51,0,0,0,ham
122,0,1,0,ham
162,0,0,1,ham
42,0,0,0,ham
89,0,1,0,ham
12,0,0,0,ham
41,0,1,1,ham
78,0,0,1,ham
29,0,0,0,ham
54,0,2,0,ham
53,0,0,1,ham
160,0,0,3,ham
100,0,0,1,ham
104,0,0,0,ham
160,0,0,3,ham
53,0,0,0,ham
47,0,0,0,ham
29,0,0,1,ham
171,0,2,25,spam
35,0,0,0,ham
51,0,0,0,ham
29,0,0,0,ham
39,0,0,0,ham
149,0,0,0,ham
186,0,0,0,ham
149,0,16,3,spam
57,0,0,0,ham
87,0,0,0,ham
44,0,0,0,ham
85,0,0,0,ham
40,0,0,0,ham
83,0,0,0,ham
46,0,0,0,ham
32,0,0,0,ham
156,0,19,2,spam
37,0,0,0,ham
38,0,0,0,ham
46,0,0,0,ham
10,0,0,0,ham
131,0,1,23,ham
175,0,0,0,ham
77,0,0,0,spam
146,0,0,0,ham
131,0,0,0,ham
43,0,0,0,ham
68,0,0,0,ham
52,0,0,1,ham
27,0,0,0,ham
122,0,0,0,ham
76,0,1,0,ham
41,0,0,0,ham
77,0,0,1,ham
141,0,0,3,ham
31,0,0,0,ham
45,0,0,0,ham
146,0,25,2,spam
30,0,0,0,ham
32,0,0,1,ham
164,0,3,1,ham
108,0,0,1,ham
147,0,10,1,spam
18,0,1,0,ham
30,0,0,0,ham
69,0,0,1,ham
40,0,0,1,ham
28,0,0,0,ham
57,0,0,0,ham
165,0,12,3,spam
109,0,0,2,ham
159,0,19,5,spam
156,0,1,0,ham
87,0,1,0,spam
151,0,0,0,ham
56,0,0,0,ham
160,0,35,3,spam
116,0,0,1,ham
136,0,1,0,ham
166,0,27,5,spam
179,0,0,5,ham
47,0,0,1,ham
166,0,18,4,spam
160,0,8,2,ham
42,0,0,0,ham
66,0,0,2,ham
79,0,0,0,ham
100,0,0,1,ham
148,0,0,0,ham
92,0,0,0,ham
83,0,2,0,ham
38,0,0,0,ham
95,0,0,1,ham
152,0,1,0,ham
38,0,0,0,ham
39,0,0,0,ham
10,0,0,0,ham
154,0,0,0,ham
29,0,0,0,ham
139,0,0,3,ham
161,0,0,1,ham
36,0,0,1,ham
56,0,0,0,ham
23,0,0,0,ham
179,0,0,0,ham
138,0,13,3,spam
81,0,0,0,ham
83,0,0,0,ham
117,0,0,0,ham
63,0,0,0,ham
163,0,0,0,ham
65,0,0,1,ham
161,0,0,0,ham
162,0,2,2,spam
39,0,0,1,ham
130,0,23,4,spam
31,0,0,0,ham
36,0,0,0,ham
31,0,0,0,ham
69,0,0,0,ham
127,0,0,2,spam
186,0,0,0,ham
61,0,0,0,ham
153,0,0,0,ham
97,0,0,0,ham
115,0,0,0,ham
465,0,0,2,ham
41,0,0,0,ham
33,0,0,1,ham
38,0,0,1,ham
56,0,0,1,ham
163,0,0,0,spam
50,0,0,0,ham
42,0,0,0,ham
166,0,23,2,spam
44,0,0,0,ham
101,0,2,1,ham
20,0,0,0,ham
34,0,0,0,ham
37,0,0,0,ham
159,0,0,4,ham
34,0,0,0,ham
41,0,0,0,ham
59,0,0,1,ham
34,0,0,1,ham
52,0,0,1,ham
177,0,0,0,ham
37,0,0,1,ham
27,0,0,0,ham
156,0,16,2,spam
96,0,0,0,ham
58,0,0,0,ham
29,0,0,0,ham
126,0,0,2,ham
41,0,0,1,ham
217,0,0,8,ham
30,0,0,0,ham
164,0,5,1,spam
64,0,0,0,ham
162,0,0,0,ham
42,0,0,0,ham
84,0,0,0,ham
31,0,0,0,ham
55,0,0,0,ham
80,0,0,0,ham
46,0,0,1,ham
13,0,0,1,ham
41,0,0,0,ham
36,0,0,0,ham
78,0,2,0,ham
132,0,0,0,ham
19,0,0,0,ham
102,0,0,2,ham
133,0,1,0,ham
99,0,0,0,ham
68,0,1,0,ham
63,0,0,0,ham
51,0,0,0,ham
31,0,1,0,ham
150,0,1,0,ham
34,0,0,2,ham
38,0,0,0,ham
161,0,3,3,ham
42,0,0,1,ham
68,0,0,0,ham
38,0,0,0,ham
151,0,28,3,spam
155,0,17,8,spam
109,0,1,0,ham
65,0,0,0,ham
67,0,0,2,ham
191,0,0,0,ham
616,0,4,2,ham
68,0,0,1,ham
69,0,0,0,ham
69,0,0,0,ham
54,0,1,0,ham
99,0,0,0,ham
29,0,0,0,ham
343,0,1,1,ham
91,0,0,0,ham
166,0,0,5,ham
35,0,1,0,ham
110,0,0,2,ham
155,0,1,0,ham
35,0,0,0,ham
57,0,0,0,ham
142,0,29,4,spam
157,0,0,0,ham
48,0,0,0,ham
151,0,9,0,spam
149,0,24,2,spam
40,0,0,0,ham
54,0,0,1,ham
30,0,0,1,ham
132,0,0,0,ham
30,0,0,0,ham
148,0,2,0,ham
135,0,1,3,ham
29,0,0,0,ham
48,0,0,0,ham
104,0,4,0,ham
157,0,0,0,ham
42,0,0,0,ham
37,0,0,0,ham
8,0,3,0,ham
159,0,13,1,spam
33,0,1,0,ham
60,0,0,0,ham
33,0,0,0,ham
128,0,0,1,ham
34,0,0,0,ham
120,1,1,0,ham
44,0,0,0,ham
161,0,0,3,ham
155,0,0,0,ham
138,0,12,4,spam
49,0,0,0,ham
77,0,8,0,spam
161,0,0,1,ham
30,0,0,0,ham
154,0,23,2,spam
46,0,0,1,ham
88,0,0,0,ham
50,0,2,1,ham
78,0,1,0,ham
163,0,0,1,ham
52,0,0,0,ham
169,0,19,9,spam
166,0,0,0,ham
172,0,0,4,ham
165,1,1,4,spam
42,0,0,0,ham
166,0,26,1,spam
48,0,0,0,ham
143,0,0,0,ham
29,0,0,0,ham
40,0,0,7,ham
30,0,0,0,ham
36,0,1,1,ham
41,0,0,0,ham
137,0,0,0,ham
161,0,0,2,ham
35,0,0,7,ham
123,0,0,1,ham
87,0,0,1,ham
130,0,23,2,spam
150,0,0,3,ham
82,0,0,2,ham
27,0,1,0,ham
95,0,0,1,ham
66,0,0,1,ham
152,0,35,6,spam
35,0,0,0,ham
47,0,0,0,ham
82,0,0,1,ham
165,0,19,0,spam
32,0,0,1,ham
18,0,0,1,ham
134,0,0,0,ham
78,0,0,0,ham
93,0,0,0,ham
34,0,0,1,ham
156,0,0,0,ham
16,0,1,0,ham
28,0,0,0,ham
163,0,18,3,spam
79,0,6,1,spam
30,0,0,0,ham
153,0,0,0,ham
57,0,1,0,ham
45,0,0,0,ham
163,0,0,0,ham
131,0,0,0,ham
23,0,0,0,ham
11,0,0,1,ham
131,0,1,29,ham
51,0,0,0,ham
35,0,1,0,ham
40,0,0,0,ham
178,0,21,0,spam
120,0,18,1,spam
37,0,0,0,ham
28,0,0,0,ham
131,0,8,3,spam
47,0,0,1,ham
104,0,0,0,ham
101,0,1,0,ham
77,0,0,2,ham
77,0,0,1,ham
83,0,0,1,ham
65,0,0,0,ham
156,0,5,0,spam
10,0,0,0,ham
36,0,0,0,ham
82,0,0,0,ham
38,0,2,1,ham
30,0,0,1,ham
131,0,0,0,ham
73,0,0,1,ham
80,0,0,1,ham
73,0,0,1,ham
151,0,0,0,ham
64,0,0,1,ham
67,0,0,0,ham
54,0,0,1,ham
71,0,0,0,ham
151,0,22,3,spam
29,0,0,1,ham
63,0,0,0,ham
114,0,1,0,ham
144,0,10,8,spam
60,0,0,0,ham
78,0,0,1,ham
156,0,1,0,ham
141,0,0,0,ham
68,0,0,0,ham
164,0,8,1,ham
44,0,1,0,ham
72,0,0,1,ham
132,0,2,26,ham
29,0,0,1,ham
141,0,1,0,ham
39,0,0,1,ham
32,0,0,0,ham
60,0,0,0,ham
34,0,0,0,ham
231,0,23,2,spam
46,0,0,0,ham
41,0,0,0,ham
28,0,0,1,ham
56,0,0,1,ham
39,0,0,1,ham
39,0,0,1,ham
164,0,29,5,spam
79,0,0,2,ham
147,0,1,28,ham
37,0,0,1,ham
161,0,18,0,spam
166,0,1,0,ham
91,0,0,1,ham
37,0,0,1,ham
171,0,0,1,ham
27,0,0,6,ham
31,0,0,0,ham
97,0,1,0,ham
42,0,0,0,ham
51,0,0,1,ham
67,0,0,1,ham
44,0,0,0,ham
55,0,0,1,ham
42,0,0,0,ham
26,0,0,0,ham
112,0,1,0,ham
43,0,0,0,ham
212,0,0,0,ham
163,0,0,1,ham
72,0,0,1,ham
148,0,23,5,spam
126,1,6,0,ham
168,0,16,4,spam
33,0,0,0,ham
73,0,0,0,ham
128,0,2,1,ham
66,0,0,0,ham
38,0,0,1,ham
163,0,0,3,ham
48,0,0,0,ham
57,0,1,0,ham
46,0,0,1,ham
39,0,11,1,spam
160,0,5,1,spam
160,0,8,2,ham
170,0,19,0,spam
160,0,25,6,spam
29,0,0,0,ham
58,0,0,0,ham
67,0,0,0,ham
166,0,0,5,ham
39,0,0,2,ham
158,0,0,1,ham
31,0,0,0,ham
32,0,0,0,ham
57,0,0,0,ham
105,0,0,0,ham
166,0,3,2,ham
140,0,5,1,spam
44,0,0,1,ham
37,0,0,0,ham
165,0,0,2,ham
127,0,0,1,ham
47,0,0,0,ham
51,0,0,0,ham
51,0,0,0,ham
128,0,0,2,ham
29,0,0,1,ham
33,0,0,1,ham
39,0,0,0,ham
34,0,0,0,ham
52,0,0,0,ham
161,0,21,0,spam
52,0,0,1,ham
119,0,0,0,ham
44,0,0,0,ham
71,0,0,0,ham
87,0,1,0,ham
125,0,3,0,ham
29,0,0,0,ham
94,0,0,23,ham
72,0,1,1,ham
49,0,0,0,ham
38,0,1,1,ham
33,0,0,0,ham
42,0,0,0,ham
81,0,0,0,ham
155,0,0,5,ham
50,0,0,0,ham
89,0,0,1,ham
29,0,0,0,ham
124,0,0,0,ham
339,0,0,0,ham
85,0,0,0,ham
29,0,0,0,ham
159,0,13,1,spam
39,0,0,0,ham
70,0,0,1,ham
32,0,0,0,ham
29,0,0,1,ham
58,0,0,1,ham
33,0,0,0,ham
27,0,0,0,ham
28,0,0,0,ham
169,0,24,1,spam
196,0,3,1,ham
80,0,0,1,ham
28,0,0,1,ham
30,0,0,0,ham
42,0,0,0,ham
45,0,0,0,ham
98,0,0,0,ham
112,0,0,0,ham
166,0,24,3,spam
57,0,0,1,ham
76,0,2,0,ham
58,0,0,0,ham
56,0,7,0,ham
162,0,19,3,spam
103,0,0,1,ham
94,0,0,0,ham
55,0,0,1,ham
170,0,0,13,ham
140,0,0,1,ham
39,0,0,0,ham
46,0,0,0,ham
65,0,0,0,ham
55,0,0,0,ham
797,0,0,2,ham
39,0,0,0,ham
40,0,0,0,ham
105,0,0,0,ham
49,0,0,0,ham
188,0,0,1,ham
76,0,0,0,ham
35,0,0,0,ham
41,0,0,0,ham
80,0,1,1,ham
60,0,0,0,ham
121,0,8,1,spam
90,0,0,1,spam
161,0,12,5,spam
38,0,0,1,ham
102,0,0,0,ham
38,0,0,8,ham
138,0,12,4,spam
69,0,1,0,ham
27,0,0,1,ham
39,0,0,1,ham
135,0,0,0,ham
50,0,0,1,ham
67,0,0,2,ham
161,0,20,3,spam
158,0,24,3,spam
90,0,0,0,ham
37,0,1,1,ham
94,0,0,0,ham
68,0,0,1,ham
169,0,29,22,spam
33,0,0,0,ham
164,0,7,3,spam
48,0,0,1,ham
115,0,1,1,ham
60,0,0,0,ham
36,0,1,0,ham
32,0,0,1,ham
84,0,0,1,ham
29,0,0,0,ham
45,0,0,0,ham
149,0,19,2,spam
64,0,0,0,ham
61,0,0,0,ham
89,0,0,0,ham
20,0,0,4,ham
111,0,0,1,ham
35,0,0,0,ham
113,0,0,0,ham
97,0,1,0,ham
92,0,0,1,ham
21,0,0,0,ham
164,0,22,3,spam
56,0,0,0,ham
55,0,0,0,ham
68,0,0,1,ham
39,0,0,0,ham
165,0,2,2,ham
34,0,0,0,ham
46,0,0,1,ham
73,0,2,1,ham
96,0,1,0,ham
7,0,0,0,ham
71,0,0,0,ham
142,0,0,0,ham
35,0,0,0,ham
150,0,28,1,spam
147,0,25,2,spam
40,0,0,0,ham
40,0,0,1,ham
30,0,0,0,ham
28,0,0,1,ham
37,0,0,0,ham
81,0,0,0,ham
73,0,0,0,ham
144,0,0,0,ham
60,0,0,0,ham
165,0,19,0,spam
129,0,1,0,ham
168,0,26,2,spam
51,0,0,1,ham
125,0,1,3,ham
79,0,0,1,ham
61,0,4,0,ham
59,0,0,0,ham
54,0,0,0,ham
56,0,0,1,ham
34,0,1,0,ham
42,0,0,1,ham
72,0,0,0,ham
46,0,1,0,ham
97,0,0,1,ham
35,0,0,0,ham
75,0,0,0,ham
51,0,0,1,ham
92,0,1,0,ham
102,0,0,1,ham
28,0,0,0,ham
162,0,22,0,spam
39,0,0,1,ham
80,0,14,0,spam
64,0,0,0,ham
165,0,0,7,ham
78,0,0,0,ham
81,0,0,1,ham
70,0,0,1,ham
63,0,1,2,ham
137,0,26,2,spam
19,0,0,0,ham
32,0,0,0,ham
146,0,0,0,ham
58,0,0,1,ham
57,0,0,0,ham
36,0,0,0,ham
44,0,0,0,ham
109,0,12,2,spam
88,0,0,0,ham
39,0,0,0,ham
29,0,0,0,ham
96,0,0,0,ham
66,0,0,0,ham
155,0,0,2,ham
159,0,24,3,spam
128,0,1,1,ham
29,0,0,1,ham
37,0,0,0,ham
29,0,0,0,ham
54,0,0,1,ham
113,0,0,24,ham
124,0,0,2,ham
135,0,20,0,spam
39,0,0,0,ham
43,0,0,0,ham
31,0,0,0,ham
37,0,0,1,ham
156,0,6,19,ham
124,0,0,1,ham
50,0,0,2,ham
60,0,2,0,ham
43,0,0,0,ham
149,0,0,1,spam
85,0,0,1,ham
61,0,0,1,ham
67,0,0,0,ham
57,0,1,0,ham
86,0,2,0,ham
41,0,0,0,ham
438,0,0,4,ham
67,0,0,2,ham
382,0,1,1,ham
167,0,0,0,ham
124,0,19,3,spam
57,0,0,0,ham
143,0,2,2,ham
49,0,0,0,ham
70,0,0,0,ham
27,0,0,0,ham
43,0,2,0,ham
55,0,1,0,ham
90,0,0,1,ham
165,0,14,3,spam
89,0,0,0,ham
44,0,0,2,ham
81,0,0,0,ham
60,0,0,0,ham
99,0,3,0,ham
43,0,1,0,ham
43,0,0,0,ham
82,0,0,0,ham
69,0,0,2,ham
66,0,0,0,ham
28,0,0,6,ham
42,0,0,0,ham
50,0,0,0,ham
56,0,0,0,ham
29,0,0,0,ham
48,0,0,0,ham
130,0,1,0,ham
48,0,0,0,ham
40,0,0,1,ham
53,0,1,0,ham
161,0,16,1,spam
40,0,0,1,ham
64,0,0,1,ham
39,0,0,0,ham
55,0,0,0,ham
32,0,0,0,ham
45,0,1,0,ham
42,0,0,0,ham
89,0,1,0,ham
160,0,21,2,spam
132,0,4,1,ham
50,0,0,1,ham
39,0,0,1,ham
57,0,0,0,ham
46,0,0,0,ham
37,0,0,0,ham
57,0,0,0,ham
45,0,0,1,ham
103,0,0,5,ham
36,0,0,0,ham
166,0,28,3,spam
281,0,0,0,ham
55,0,0,0,ham
31,0,0,0,ham
41,0,0,0,ham
104,0,0,0,ham
170,0,19,9,spam
155,0,4,8,spam
49,0,0,0,ham
28,0,0,0,ham
169,0,23,4,spam
68,0,0,0,ham
65,0,0,1,ham
48,0,0,0,ham
138,0,4,1,ham
36,0,5,1,spam
32,0,0,1,ham
47,0,0,0,ham
45,0,0,0,ham
22,0,0,0,ham
88,0,0,0,ham
43,0,0,0,ham
53,0,0,0,ham
40,0,0,0,ham
143,0,2,0,ham
161,0,16,6,spam
370,0,0,3,ham
45,0,0,1,ham
52,0,0,0,ham
161,0,0,1,ham
167,0,18,2,spam
150,0,34,1,spam
38,0,0,0,ham
16,0,0,0,ham
49,0,0,0,ham
95,0,2,1,ham
167,0,16,3,spam
52,0,0,0,ham
69,0,3,1,ham
29,0,0,0,ham
100,0,0,0,ham
139,0,0,1,ham
28,0,0,1,ham
37,0,0,1,ham
182,0,0,0,ham
162,0,21,1,spam
43,0,0,0,ham
40,0,0,0,ham
152,0,2,0,ham
163,0,23,0,spam
58,0,0,0,ham
169,0,3,2,spam
112,0,0,2,ham
45,0,0,0,ham
65,0,0,0,ham
167,0,14,3,spam
42,0,0,1,ham
164,0,1,1,ham
190,0,0,2,ham
33,0,0,0,ham
175,0,41,2,spam
166,0,0,1,ham
86,0,0,0,ham
45,0,0,0,ham
118,0,0,0,ham
35,0,0,0,ham
47,0,0,0,ham
46,0,0,1,ham
118,0,0,1,ham
143,0,17,1,spam
389,0,0,0,ham
92,0,0,0,ham
56,0,0,0,ham
32,0,0,0,ham
33,0,0,0,ham
31,0,0,1,ham
54,0,0,0,ham
44,0,0,0,ham
43,0,0,0,ham
36,0,0,0,ham
166,0,1,1,ham
160,0,17,2,spam
169,0,3,2,spam
30,0,0,0,ham
161,0,4,0,ham
27,0,0,1,ham
39,0,0,0,ham
52,0,0,0,ham
75,0,0,1,ham
82,0,0,1,ham
37,0,0,1,ham
55,0,1,0,ham
35,0,0,0,ham
119,0,0,1,ham
595,0,2,9,ham
119,0,0,1,ham
153,0,20,2,spam
119,0,1,0,ham
55,0,0,0,ham
148,0,5,0,ham
163,0,0,0,ham
63,0,0,0,ham
34,0,1,0,ham
46,0,0,1,ham
37,0,0,0,ham
42,0,0,0,ham
164,0,28,5,spam
166,0,4,22,ham
34,0,0,1,ham
53,0,0,0,ham
66,0,0,0,ham
34,0,0,1,ham
29,0,0,0,ham
36,0,0,0,ham
42,0,0,0,ham
200,0,0,1,ham
50,0,0,0,ham
161,0,0,2,ham
8,0,0,0,ham
37,0,0,2,ham
138,0,0,0,ham
57,0,0,2,ham
147,0,0,0,ham
109,0,0,1,ham
48,0,0,0,ham
158,0,20,3,spam
77,0,2,1,ham
112,0,5,0,ham
59,0,0,1,ham
113,0,1,0,ham
82,0,0,2,ham
47,0,0,0,ham
139,0,0,8,ham
49,0,0,0,ham
27,0,0,0,ham
35,0,1,0,ham
43,0,0,1,ham
59,0,0,0,ham
63,0,1,1,ham
73,0,0,0,ham
70,0,0,0,ham
98,0,0,0,ham
139,0,0,1,ham
166,0,30,2,spam
117,0,0,0,ham
167,0,26,2,spam
29,0,0,0,ham
73,0,0,0,ham
126,0,1,0,ham
65,0,0,0,ham
67,0,1,0,ham
59,0,0,0,ham
50,0,0,0,ham
71,0,1,1,ham
72,0,0,0,ham
82,0,0,0,ham
160,0,24,1,spam
81,0,0,0,ham
82,0,0,1,ham
180,0,0,1,ham
164,0,17,0,spam
83,0,0,1,ham
107,0,0,1,ham
44,0,0,0,ham
37,0,0,0,ham
35,0,0,0,ham
113,0,0,0,ham
148,0,0,0,ham
137,0,1,0,ham
63,0,0,0,ham
33,0,0,0,ham
82,0,0,0,ham
165,0,3,0,ham
93,0,0,0,ham
134,0,0,0,ham
115,0,0,0,ham
56,0,0,0,ham
35,0,0,1,ham
30,0,0,1,ham
101,0,1,0,ham
69,0,0,0,ham
28,0,0,0,ham
75,0,0,0,ham
189,0,1,0,spam
165,0,23,5,spam
36,0,0,0,ham
164,0,17,0,spam
118,0,0,1,ham
115,0,1,0,ham
41,0,0,0,ham
33,0,0,0,ham
28,0,0,0,ham
164,0,1,1,ham
61,0,0,0,ham
44,0,0,0,ham
159,0,0,1,ham
41,0,0,0,ham
161,0,8,2,spam
69,0,1,0,ham
41,0,0,0,ham
166,0,23,3,spam
76,0,0,0,ham
56,0,0,1,ham
127,0,15,4,spam
22,0,0,1,ham
39,0,11,3,spam
27,0,0,0,ham
31,0,0,1,ham
149,0,0,0,ham
70,0,1,0,ham
27,0,0,0,ham
94,0,0,1,ham
47,0,0,0,ham
33,0,0,0,ham
140,0,0,1,ham
83,2,7,0,ham
40,0,0,0,ham
31,0,0,1,ham
59,0,0,0,ham
34,0,0,0,ham
38,0,0,1,ham
30,0,0,0,ham
92,0,0,0,ham
106,0,0,2,ham
115,0,1,2,ham
32,0,0,0,ham
165,0,15,1,spam
65,0,2,11,ham
49,0,0,1,ham
31,0,0,0,ham
96,0,1,1,ham
54,0,12,0,spam
130,0,0,30,ham
189,0,22,1,spam
30,0,0,0,ham
74,0,0,0,ham
168,0,24,3,spam
76,0,0,1,ham
55,0,0,0,ham
33,0,0,0,ham
71,0,0,1,ham
132,0,1,6,ham
67,0,0,0,ham
33,0,0,0,ham
151,0,19,2,spam
166,0,23,2,spam
85,0,2,0,ham
157,0,16,2,spam
165,0,18,4,spam
122,0,1,0,spam
28,0,0,0,ham
90,0,0,0,ham
39,0,0,0,ham
46,0,0,1,ham
141,0,0,0,ham
30,0,0,0,ham
35,0,0,0,ham
50,0,0,0,ham
10,0,0,0,ham
28,0,0,1,ham
98,0,0,0,ham
12,0,0,0,ham
29,0,0,0,ham
134,0,0,1,ham
174,0,28,2,spam
50,0,0,0,ham
70,0,0,0,ham
53,0,0,1,ham
23,0,0,0,ham
29,0,0,0,ham
38,0,0,0,ham
30,0,0,0,ham
56,0,0,2,ham
97,0,0,0,ham
74,0,0,1,ham
32,0,0,0,ham
112,0,0,0,ham
56,0,0,1,ham
70,0,0,0,ham
166,0,16,3,spam
148,0,5,0,ham
12,0,0,0,ham
48,0,2,0,ham
72,0,0,0,ham
35,0,0,0,ham
42,0,0,0,ham
52,0,0,0,ham
41,0,0,0,ham
127,0,12,1,spam
34,0,0,0,ham
88,0,11,1,spam
41,0,0,1,ham
288,0,0,5,ham
32,0,0,0,ham
57,0,0,0,ham
71,0,0,0,ham
157,0,18,2,spam
128,0,0,2,ham
61,0,0,0,ham
97,0,1,0,ham
169,0,8,4,spam
71,0,0,0,ham
48,0,0,0,ham
164,0,21,3,spam
132,0,4,1,ham
48,0,1,0,ham
457,0,4,3,ham
106,0,0,0,ham
95,0,0,0,ham
108,0,1,1,ham
163,0,17,3,spam
29,0,0,0,ham
100,0,3,13,ham
79,0,1,0,ham
115,0,8,3,spam
165,0,0,0,ham
489,1,0,4,ham
60,0,1,0,ham
128,0,0,1,ham
36,0,0,1,ham
27,0,0,0,ham
29,0,0,0,ham
169,0,17,0,spam
43,0,0,0,ham
27,0,0,0,ham
98,0,0,0,ham
71,0,0,0,ham
196,0,0,0,ham
32,0,0,7,ham
74,0,0,1,ham
111,0,0,0,ham
101,0,0,2,ham
45,0,0,0,ham
45,0,0,0,ham
30,0,0,0,ham
29,0,0,5,ham
31,0,0,0,ham
44,0,0,1,ham
158,0,2,3,spam
59,0,0,0,ham
78,0,0,0,ham
85,0,2,0,ham
26,0,0,0,ham
156,0,2,0,ham
451,0,11,7,ham
46,0,0,0,ham
104,0,0,2,ham
38,0,1,0,ham
34,0,0,0,ham
164,0,16,4,spam
121,0,0,1,ham
29,0,0,1,ham
80,0,0,1,ham
54,0,0,1,ham
86,0,0,0,ham
122,0,0,1,ham
158,0,18,3,spam
57,0,0,0,ham
88,0,1,1,ham
46,0,0,1,ham
27,0,0,0,ham
51,0,0,0,ham
62,0,0,3,ham
163,0,23,1,spam
50,0,0,0,ham
72,0,0,1,ham
158,0,2,7,spam
31,0,0,0,ham
105,0,0,0,ham
58,0,0,1,ham
639,0,1,2,ham
240,0,1,1,ham
31,0,0,1,ham
119,0,1,0,ham
129,0,23,2,spam
50,0,1,1,ham
83,0,4,0,ham
58,0,0,0,ham
87,0,0,0,ham
33,0,0,1,ham
90,0,0,0,ham
53,0,0,1,ham
190,0,0,2,ham
29,0,0,0,ham
110,0,0,0,ham
33,0,0,0,ham
30,0,0,0,ham
28,0,0,1,ham
79,0,0,1,ham
55,0,0,0,ham
33,0,0,0,ham
49,0,2,1,ham
95,0,0,0,ham
30,0,0,0,ham
34,0,0,1,ham
46,0,0,0,ham
51,0,0,0,ham
69,0,0,0,ham
20,0,0,0,ham
133,0,0,0,ham
112,0,0,1,ham
54,0,0,0,ham
35,0,0,1,ham
28,0,0,0,ham
89,0,0,0,ham
72,0,0,0,ham
19,0,0,0,ham
73,0,3,0,ham
44,0,0,0,ham
167,0,18,2,spam
30,0,0,0,ham
91,0,0,0,ham
34,0,0,0,ham
27,0,0,0,ham
208,0,0,1,ham
142,0,0,0,ham
124,0,4,3,spam
175,0,26,3,spam
38,0,0,1,ham
106,0,0,0,ham
50,0,0,0,ham
129,0,0,1,ham
89,0,0,1,ham
47,0,0,1,ham
83,0,0,2,ham
75,0,0,0,ham
126,0,1,2,ham
86,0,0,0,ham
49,0,0,0,ham
250,0,0,1,ham
71,0,0,0,ham
146,0,0,1,ham
155,0,24,1,spam
172,0,0,2,ham
56,0,0,0,ham
62,0,1,0,ham
35,0,0,0,ham
41,0,0,0,ham
33,0,0,0,ham
313,0,0,5,ham
207,0,0,1,ham
167,0,0,3,ham
41,0,0,0,ham
25,0,0,0,ham
11,0,0,0,ham
10,0,0,0,ham
157,0,5,3,ham
78,0,0,0,ham
24,0,0,0,ham
160,0,1,0,ham
164,0,17,3,spam
50,0,0,1,ham
59,0,0,0,ham
27,0,0,0,ham
29,0,0,0,ham
72,0,0,1,ham
47,0,0,2,ham
184,0,0,0,ham
29,0,0,0,ham
85,0,1,1,ham
29,0,0,0,ham
105,0,10,5,spam
